"","province","gender","age","edu","Number","Proportion"
"178","NS","Male","18 to 29","Didn't graduate high school",6,0.00432588320115357
"179","NS","Male","18 to 29","Graduated college",20,0.0144196106705119
"180","NS","Male","18 to 29","Graduated high school",34,0.0245133381398702
"181","NS","Male","30 to 44","Didn't graduate college",44,0.0317231434751262
"182","NS","Male","30 to 44","Didn't graduate high school",6,0.00432588320115357
"183","NS","Male","30 to 44","Graduated college",52,0.0374909877433309
"184","NS","Male","30 to 44","Graduated high school",36,0.0259552992069214
"185","NS","Male","45 to 59","Didn't graduate college",63,0.0454217736121125
"186","NS","Male","45 to 59","Didn't graduate high school",27,0.0194664744051911
"187","NS","Male","45 to 59","Graduated college",49,0.0353280461427541
"188","NS","Male","45 to 59","Graduated high school",38,0.0273972602739726
"189","NS","Male","60 plus","Didn't graduate college",68,0.0490266762797404
"190","NS","Male","60 plus","Didn't graduate high school",68,0.0490266762797404
"191","NS","Male","60 plus","Graduated college",63,0.0454217736121125
"192","NS","Male","60 plus","Graduated high school",58,0.0418168709444845
"193","ON","Female","18 to 29","Didn't graduate college",93,0.0172413793103448
"194","ON","Female","18 to 29","Didn't graduate high school",24,0.00444938820912125
"195","ON","Female","18 to 29","Graduated college",114,0.0211345939933259
"196","ON","Female","18 to 29","Graduated high school",99,0.0183537263626251
"197","ON","Female","30 to 44","Didn't graduate college",227,0.0420837968112718
"198","ON","Female","30 to 44","Didn't graduate high school",19,0.00352243233222099
"199","ON","Female","30 to 44","Graduated college",355,0.0658138672599184
"200","ON","Female","30 to 44","Graduated high school",94,0.0174267704857249
"201","ON","Female","45 to 59","Didn't graduate college",292,0.0541342232109752
"202","ON","Female","45 to 59","Didn't graduate high school",39,0.00723025583982202
"203","ON","Female","45 to 59","Graduated college",268,0.0496848350018539
"204","ON","Female","45 to 59","Graduated high school",157,0.0291064145346682
"205","ON","Female","60 plus","Didn't graduate college",373,0.0691509084167594
"206","ON","Female","60 plus","Didn't graduate high school",211,0.039117538005191
"207","ON","Female","60 plus","Graduated college",278,0.0515387467556544
"208","ON","Female","60 plus","Graduated high school",331,0.0613644790507972
"209","ON","Male","18 to 29","Didn't graduate college",76,0.0140897293288839
"210","ON","Male","18 to 29","Didn't graduate high school",18,0.00333704115684093
"211","ON","Male","18 to 29","Graduated college",84,0.0155728587319244
"212","ON","Male","18 to 29","Graduated high school",122,0.0226177233963663
"213","ON","Male","30 to 44","Didn't graduate college",197,0.0365220615498702
"214","ON","Male","30 to 44","Didn't graduate high school",18,0.00333704115684093
"215","ON","Male","30 to 44","Graduated college",251,0.046533185020393
"216","ON","Male","30 to 44","Graduated high school",109,0.0202076381164257
"217","ON","Male","45 to 59","Didn't graduate college",211,0.039117538005191
"218","ON","Male","45 to 59","Didn't graduate high school",42,0.00778642936596218
"219","ON","Male","45 to 59","Graduated college",229,0.0424545791620319
"220","ON","Male","45 to 59","Graduated high school",165,0.0305895439377086
"221","ON","Male","60 plus","Didn't graduate college",261,0.0483870967741935
"222","ON","Male","60 plus","Didn't graduate high school",160,0.0296625880608083
"223","ON","Male","60 plus","Graduated college",260,0.0482017055988135
"224","ON","Male","60 plus","Graduated high school",217,0.0402298850574713
"225","PE","Female","18 to 29","Didn't graduate college",7,0.0103244837758112
"226","PE","Female","18 to 29","Didn't graduate high school",2,0.00294985250737463
"227","PE","Female","18 to 29","Graduated college",8,0.0117994100294985
"228","PE","Female","18 to 29","Graduated high school",14,0.0206489675516224
"229","PE","Female","30 to 44","Didn't graduate college",39,0.0575221238938053
"230","PE","Female","30 to 44","Didn't graduate high school",2,0.00294985250737463
"231","PE","Female","30 to 44","Graduated college",28,0.0412979351032448
"232","PE","Female","30 to 44","Graduated high school",14,0.0206489675516224
"233","PE","Female","45 to 59","Didn't graduate college",44,0.0648967551622419
"234","PE","Female","45 to 59","Didn't graduate high school",7,0.0103244837758112
"235","PE","Female","45 to 59","Graduated college",25,0.0368731563421829
"236","PE","Female","45 to 59","Graduated high school",26,0.0383480825958702
"237","PE","Female","60 plus","Didn't graduate college",74,0.109144542772861
"238","PE","Female","60 plus","Didn't graduate high school",37,0.0545722713864307
"239","PE","Female","60 plus","Graduated college",28,0.0412979351032448
"240","PE","Female","60 plus","Graduated high school",45,0.0663716814159292
"241","PE","Male","18 to 29","Didn't graduate college",14,0.0206489675516224
"242","PE","Male","18 to 29","Didn't graduate high school",4,0.00589970501474926
"243","PE","Male","18 to 29","Graduated college",6,0.00884955752212389
"244","PE","Male","18 to 29","Graduated high school",17,0.0250737463126844
"245","PE","Male","30 to 44","Didn't graduate college",24,0.0353982300884956
"246","PE","Male","30 to 44","Didn't graduate high school",1,0.00147492625368732
"247","PE","Male","30 to 44","Graduated college",19,0.028023598820059
"248","PE","Male","30 to 44","Graduated high school",12,0.0176991150442478
"249","PE","Male","45 to 59","Didn't graduate college",23,0.0339233038348083
"250","PE","Male","45 to 59","Didn't graduate high school",13,0.0191740412979351
